CMDLINE python test_lib_memoryleak.py
MEM 40.742188 1611149549.8423
MEM 40.746094 1611149550.8500
MEM 40.746094 1611149551.8594
MEM 40.757812 1611149552.8678
MEM 40.757812 1611149553.8759
MEM 40.761719 1611149554.8861
MEM 40.761719 1611149555.8925
MEM 40.765625 1611149556.8987
MEM 40.781250 1611149557.9085
MEM 40.789062 1611149558.9183
MEM 40.789062 1611149559.9274
MEM 40.792969 1611149560.9366
MEM 40.800781 1611149561.9425
MEM 40.808594 1611149562.9520
MEM 40.820312 1611149563.9614
MEM 40.824219 1611149564.9715
MEM 40.824219 1611149565.9809
MEM 40.824219 1611149566.9907
MEM 40.839844 1611149568.0007
MEM 40.839844 1611149569.0104
MEM 40.851562 1611149570.0181
MEM 40.851562 1611149571.0280
MEM 40.859375 1611149572.0385
MEM 40.863281 1611149573.0482
MEM 40.867188 1611149574.0536
MEM 40.867188 1611149575.0592
MEM 40.875000 1611149576.0664
MEM 40.875000 1611149577.0735
MEM 40.886719 1611149578.0815
MEM 40.890625 1611149579.0868
MEM 40.890625 1611149580.0926
MEM 40.898438 1611149581.1026
MEM 40.902344 1611149582.1106
MEM 40.921875 1611149583.1176
MEM 40.925781 1611149584.1294
MEM 40.929688 1611149585.1382
MEM 40.941406 1611149586.1450
MEM 40.945312 1611149587.1502
MEM 40.960938 1611149588.1591
MEM 40.960938 1611149589.1680
MEM 40.972656 1611149590.1777
MEM 40.972656 1611149591.1853
MEM 40.976562 1611149592.1927
MEM 40.976562 1611149593.1991
MEM 40.980469 1611149594.2045
MEM 40.992188 1611149595.2097
MEM 41.000000 1611149596.2172
MEM 41.042969 1611149597.2268
MEM 41.042969 1611149598.2366
MEM 41.144531 1611149599.2436
MEM 41.144531 1611149600.2519
MEM 41.144531 1611149601.2620
MEM 41.144531 1611149602.2694
MEM 41.183594 1611149603.2794
MEM 41.183594 1611149604.2880
MEM 41.183594 1611149605.2961
MEM 41.183594 1611149606.3024
MEM 41.191406 1611149607.3114
MEM 41.191406 1611149608.3186
MEM 41.195312 1611149609.3276
MEM 41.195312 1611149610.3370
MEM 41.195312 1611149611.3445
MEM 41.195312 1611149612.3514
MEM 41.195312 1611149613.3605
MEM 41.195312 1611149614.3700
MEM 41.195312 1611149615.3796
MEM 41.195312 1611149616.3891
MEM 41.195312 1611149617.3976
MEM 41.195312 1611149618.4037
MEM 41.195312 1611149619.4102
MEM 41.195312 1611149620.4186
MEM 41.195312 1611149621.4277
MEM 41.195312 1611149622.4359
MEM 41.195312 1611149623.4468
MEM 41.195312 1611149624.4531
MEM 41.195312 1611149625.4601
MEM 41.199219 1611149626.4711
MEM 41.199219 1611149627.4822
MEM 41.199219 1611149628.4895
MEM 41.199219 1611149629.4961
MEM 41.199219 1611149630.5066
MEM 41.199219 1611149631.5128
MEM 41.199219 1611149632.5233
MEM 41.199219 1611149633.5311
MEM 41.199219 1611149634.5366
MEM 41.199219 1611149635.5439
MEM 41.199219 1611149636.5513
MEM 41.199219 1611149637.5601
MEM 41.199219 1611149638.5705
MEM 41.199219 1611149639.5773
MEM 41.199219 1611149640.5874
MEM 41.199219 1611149641.5936
MEM 41.199219 1611149642.6004
MEM 41.199219 1611149643.6103
MEM 41.199219 1611149644.6203
MEM 41.199219 1611149645.6279
MEM 41.199219 1611149646.6379
MEM 41.199219 1611149647.6442
MEM 41.199219 1611149648.6545
MEM 41.199219 1611149649.6611
MEM 41.199219 1611149650.6669
MEM 41.199219 1611149651.6739
MEM 41.199219 1611149652.6814
MEM 41.199219 1611149653.6877
MEM 41.199219 1611149654.6941
MEM 41.199219 1611149655.6999
MEM 41.199219 1611149656.7059
MEM 41.207031 1611149657.7122
MEM 41.210938 1611149658.7221
MEM 41.210938 1611149659.7311
MEM 41.210938 1611149660.7379
MEM 41.218750 1611149661.7460
MEM 41.218750 1611149662.7547
MEM 41.234375 1611149663.7641
MEM 41.234375 1611149664.7702
MEM 41.234375 1611149665.7779
MEM 41.238281 1611149666.7888
MEM 41.238281 1611149667.7938
MEM 41.238281 1611149668.8021
MEM 41.242188 1611149669.8102
MEM 41.242188 1611149670.8200
MEM 41.242188 1611149671.8282
MEM 41.246094 1611149672.8351
MEM 41.246094 1611149673.8440
MEM 41.246094 1611149674.8493
MEM 41.246094 1611149675.8545
MEM 41.246094 1611149676.8615
MEM 41.253906 1611149677.8709
MEM 41.257812 1611149678.8775
MEM 41.257812 1611149679.8874
MEM 41.269531 1611149680.8941
MEM 41.269531 1611149681.9024
MEM 41.269531 1611149682.9107
MEM 41.269531 1611149683.9194
MEM 41.273438 1611149684.9275
MEM 41.273438 1611149685.9383
MEM 41.277344 1611149686.9440
MEM 41.277344 1611149687.9493
MEM 41.277344 1611149688.9577
MEM 41.277344 1611149689.9695
MEM 41.281250 1611149690.9784
MEM 41.281250 1611149691.9883
MEM 41.281250 1611149692.9980
MEM 41.281250 1611149694.0066
MEM 41.281250 1611149695.0118
MEM 41.281250 1611149696.0180
MEM 41.281250 1611149697.0278
MEM 41.281250 1611149698.0336
MEM 41.281250 1611149699.0399
MEM 41.281250 1611149700.0472
MEM 41.281250 1611149701.0579
MEM 41.289062 1611149702.0680
MEM 41.316406 1611149703.0777
MEM 41.316406 1611149704.0863
MEM 41.316406 1611149705.0947
MEM 41.316406 1611149706.1023
MEM 41.316406 1611149707.1111
MEM 41.316406 1611149708.1185
MEM 41.316406 1611149709.1290
MEM 41.316406 1611149710.1364
MEM 41.316406 1611149711.1443
MEM 41.316406 1611149712.1524
MEM 41.316406 1611149713.1610
MEM 41.316406 1611149714.1701
MEM 41.316406 1611149715.1796
MEM 41.316406 1611149716.1875
MEM 41.316406 1611149717.1956
MEM 41.316406 1611149718.2052
MEM 41.316406 1611149719.2147
MEM 41.316406 1611149720.2213
MEM 41.316406 1611149721.2321
MEM 41.316406 1611149722.2426
MEM 41.316406 1611149723.2530
MEM 41.316406 1611149724.2609
MEM 41.320312 1611149725.2693
MEM 41.320312 1611149726.2806
MEM 41.320312 1611149727.2883
MEM 41.320312 1611149728.2948
MEM 41.320312 1611149729.3011
MEM 41.320312 1611149730.3114
MEM 41.324219 1611149731.3187
MEM 41.324219 1611149732.3283
MEM 41.324219 1611149733.3346
MEM 41.324219 1611149734.3432
MEM 41.332031 1611149735.3527
MEM 41.332031 1611149736.3618
MEM 41.335938 1611149737.3688
MEM 41.335938 1611149738.3782
MEM 41.335938 1611149739.3866
MEM 41.335938 1611149740.3958
MEM 41.335938 1611149741.4027
MEM 41.335938 1611149742.4127
MEM 41.335938 1611149743.4188
MEM 41.335938 1611149744.4293
MEM 41.339844 1611149745.4403
MEM 41.339844 1611149746.4517
MEM 41.339844 1611149747.4626
MEM 41.367188 1611149748.4732
MEM 41.367188 1611149749.4827
MEM 41.375000 1611149750.4928
MEM 41.378906 1611149751.5032
MEM 41.378906 1611149752.5113
MEM 41.378906 1611149753.5201
MEM 41.378906 1611149754.5297
MEM 41.378906 1611149755.5392
MEM 41.378906 1611149756.5497
MEM 41.382812 1611149757.5597
MEM 41.382812 1611149758.5692
MEM 41.398438 1611149759.5782
MEM 41.398438 1611149760.5881
MEM 41.414062 1611149761.5954
MEM 41.414062 1611149762.6021
MEM 41.417969 1611149763.6134
MEM 41.417969 1611149764.6208
MEM 41.421875 1611149765.6287
MEM 41.429688 1611149766.6444
MEM 41.433594 1611149767.6545
MEM 41.433594 1611149768.6618
MEM 41.433594 1611149769.6682
MEM 41.441406 1611149770.6754
MEM 41.445312 1611149771.6855
MEM 41.445312 1611149772.6951
MEM 41.445312 1611149773.7009
MEM 41.445312 1611149774.7094
MEM 41.445312 1611149775.7250
MEM 41.445312 1611149776.7353
MEM 41.445312 1611149777.7465
MEM 41.445312 1611149778.7530
MEM 41.445312 1611149779.7631
MEM 41.445312 1611149780.7682
